record_id,record_source,seed_source_file,source_dataset,source_row_type,source_section,source_direction,source_status,source_notes,source_keywords,source_link,import_batch,first_seen_date,last_seen_date,canonical_id,year,is_seed_record,arxiv_id,title,authors,submitted,updated,abs_url,pdf_url,comment,journal_ref,accepted,venue,venue_type,publication_source,publication_evidence,publication_confidence,code_url,abstract,primary_section,primary_category,paper_role,relevance_score,summary,representation_forms,content_types,lifecycle_stages,safety_properties,keyword_tags,threat_tags,defense_tags,future_tags
2603.29493v1,arxiv_api,,daily_arxiv,live_fetch,,,fetched_from_arxiv,,,http://arxiv.org/abs/2603.29493v1,2026-04-01,2026-04-01,2026-04-03,2603.29493v1,2026,False,2603.29493v1,MemFactory: Unified Inference & Training Framework for Agent Memory,"Ziliang Guo, Ziheng Li, Zhiyu Li",2026-03-31,2026-03-31,http://arxiv.org/abs/2603.29493v1,https://arxiv.org/pdf/2603.29493v1,"10 pages, Code: https://github.com/Valsure/MemFactory",,False,,unknown,none,"10 pages, Code: https://github.com/Valsure/MemFactory",0.15,https://github.com/Valsure/MemFactory,"Memory-augmented Large Language Models (LLMs) are essential for developing capable, long-term AI agents. Recently, applying Reinforcement Learning (RL) to optimize memory operations, such as extraction, updating, and retrieval, has emerged as a highly promising research direction. However, existing implementations remain highly fragmented and task-specific, lacking a unified infrastructure to streamline the integration, training, and evaluation of these complex pipelines. To address this gap, we present MemFactory, the first unified, highly modular training and inference framework specifically designed for memory-augmented agents. Inspired by the success of unified fine-tuning frameworks like LLaMA-Factory, MemFactory abstracts the memory lifecycle into atomic, plug-and-play components, enabling researchers to seamlessly construct custom memory agents via a ""Lego-like"" architecture. Furthermore, the framework natively integrates Group Relative Policy Optimization (GRPO) to fine-tune internal memory management policies driven by multi-dimensional environmental rewards. MemFactory provides out-of-the-box support for recent cutting-edge paradigms, including Memory-R1, RMM, and MemAgent. We empirically validate MemFactory on the open-source MemAgent architecture using its publicly available training and evaluation data. Across both in-domain and out-of-distribution evaluation sets, MemFactory consistently improves performance over the corresponding base models, with relative gains of up to 14.8%. By providing a standardized, extensible, and easy-to-use infrastructure, MemFactory significantly lowers the barrier to entry, paving the way for future innovations in memory-driven AI agents.",Threat Landscape,Privacy and Confidentiality,Benchmark,0.55,"Memory-augmented Large Language Models (LLMs) are essential for developing capable, long-term AI agents. Recently, applying Reinforcement Learning (RL) to optimize memory operations, such as extraction, updating, and retrieval, has emerged as a highly promising research direction. However, existing implementations remain highly fragmented and task-specific,",External Retrieved Memory,Declarative,Retrieve | Update | Act,,agent | memory | retrieval | rag | evaluation,memory injection | memory poisoning,,
2603.29318v1,arxiv_api,,daily_arxiv,live_fetch,,,fetched_from_arxiv,,,http://arxiv.org/abs/2603.29318v1,2026-04-01,2026-04-01,2026-04-03,2603.29318v1,2026,False,2603.29318v1,PSPA-Bench: A Personalized Benchmark for Smartphone GUI Agent,"Hongyi Nie, Xunyuan Liu, Yudong Bai, Yaqing Wang, Yang Liu, Quanming Yao, Zhen Wang",2026-03-31,2026-03-31,http://arxiv.org/abs/2603.29318v1,https://arxiv.org/pdf/2603.29318v1,28 pages,,False,,unknown,none,28 pages,0.15,,"Smartphone GUI agents execute tasks by operating directly on app interfaces, offering a path to broad capability without deep system integration. However, real-world smartphone use is highly personalized: users adopt diverse workflows and preferences, challenging agents to deliver customized assistance rather than generic solutions. Existing GUI agent benchmarks cannot adequately capture this personalization dimension due to sparse user-specific data and the lack of fine-grained evaluation metrics. To address this gap, we present PSPA-Bench, the benchmark dedicated to evaluating personalization in smartphone GUI agents. PSPA-Bench comprises over 12,855 personalized instructions aligned with real-world user behaviors across 10 representative daily-use scenarios and 22 mobile apps, and introduces a structure-aware process evaluation method that measures agents' personalized capabilities at a fine-grained level. Through PSPA-Bench, we benchmark 11 state-of-the-art GUI agents. Results reveal that current methods perform poorly under personalized settings, with even the strongest agent achieving limited success. Our analysis further highlights three directions for advancing personalized GUI agents: (1) reasoning-oriented models consistently outperform general LLMs, (2) perception remains a simple yet critical capability, and (3) reflection and long-term memory mechanisms are key to improving adaptation. Together, these findings establish PSPA-Bench as a foundation for systematic study and future progress in personalized GUI agents.",Evaluation and Benchmarks,Long-Term Memory Evaluation,Benchmark,0.55,"Smartphone GUI agents execute tasks by operating directly on app interfaces, offering a path to broad capability without deep system integration. However, real-world smartphone use is highly personalized: users adopt diverse workflows and preferences, challenging agents to deliver customized assistance rather than generic solutions. Existing GUI agent benchm",,Reflective | Profile or Persona | Reasoning,,,agent | memory | personalization | benchmark | evaluation | reflection,memory injection | memory poisoning,,
2603.28088v1,arxiv_api,,daily_arxiv,live_fetch,,,fetched_from_arxiv,,,http://arxiv.org/abs/2603.28088v1,2026-03-31,2026-03-31,2026-04-03,2603.28088v1,2026,False,2603.28088v1,GEMS: Agent-Native Multimodal Generation with Memory and Skills,"Zefeng He, Siyuan Huang, Xiaoye Qu, Yafu Li, Tong Zhu, Yu Cheng, Yang Yang",2026-03-30,2026-03-30,http://arxiv.org/abs/2603.28088v1,https://arxiv.org/pdf/2603.28088v1,Project Page: https://gems-gen.github.io,,False,,unknown,none,Project Page: https://gems-gen.github.io,0.15,https://gems-gen.github.io,"Recent multimodal generation models have achieved remarkable progress on general-purpose generation tasks, yet continue to struggle with complex instructions and specialized downstream tasks. Inspired by the success of advanced agent frameworks such as Claude Code, we propose \textbf{GEMS} (Agent-Native Multimodal \textbf{GE}neration with \textbf{M}emory and \textbf{S}kills), a framework that pushes beyond the inherent limitations of foundational models on both general and downstream tasks. GEMS is built upon three core components. Agent Loop introduces a structured multi-agent framework that iteratively improves generation quality through closed-loop optimization. Agent Memory provides a persistent, trajectory-level memory that hierarchically stores both factual states and compressed experiential summaries, enabling a global view of the optimization process while reducing redundancy. Agent Skill offers an extensible collection of domain-specific expertise with on-demand loading, allowing the system to effectively handle diverse downstream applications. Across five mainstream tasks and four downstream tasks, evaluated on multiple generative backends, GEMS consistently achieves significant performance gains. Most notably, it enables the lightweight 6B model Z-Image-Turbo to surpass the state-of-the-art Nano Banana 2 on GenEval2, demonstrating the effectiveness of agent harness in extending model capabilities beyond their original limits.",Evaluation and Benchmarks,Long-Term Memory Evaluation,Benchmark,0.55,"Recent multimodal generation models have achieved remarkable progress on general-purpose generation tasks, yet continue to struggle with complex instructions and specialized downstream tasks. Inspired by the success of advanced agent frameworks such as Claude Code, we propose \textbf{GEMS} (Agent-Native Multimodal \textbf{GE}neration with \textbf{M}emory and",Shared or Distributed Memory,Declarative,Store,,agent | memory | multimodal,memory injection | memory poisoning,,
2603.26100v1,arxiv_api,,daily_arxiv,live_fetch,,,fetched_from_arxiv,,,http://arxiv.org/abs/2603.26100v1,2026-03-30,2026-03-30,2026-04-03,2603.26100v1,2026,False,2603.26100v1,Rethinking Recommendation Paradigms: From Pipelines to Agentic Recommender Systems,"Jinxin Hu, Hao Deng, Lingyu Mu, Hao Zhang, Shizhun Wang, Yu Zhang, Xiaoyi Zeng",2026-03-27,2026-03-27,http://arxiv.org/abs/2603.26100v1,https://arxiv.org/pdf/2603.26100v1,,,False,,unknown,none,,0.0,,"Large-scale industrial recommenders typically use a fixed multi-stage pipeline (recall, ranking, re-ranking) and have progressed from collaborative filtering to deep and large pre-trained models. However, both multi-stage and so-called One Model designs remain essentially static: models are black boxes, and system improvement relies on manual hypotheses and engineering, which is hard to scale under heterogeneous data and multi-objective business constraints. We propose an Agentic Recommender System (AgenticRS) that reorganizes key modules as agents. Modules are promoted to agents only when they form a functionally closed loop, can be independently evaluated, and possess an evolvable decision space. For model agents, we outline two self-evolution mechanisms: reinforcement learning style optimization in well-defined action spaces, and large language model based generation and selection of new architectures and training schemes in open-ended design spaces. We further distinguish individual evolution of single agents from compositional evolution over how multiple agents are selected and connected, and use a layered inner and outer reward design to couple local optimization with global objectives. This provides a concise blueprint for turning static pipelines into self-evolving agentic recommender systems.",Evaluation and Benchmarks,Long-Term Memory Evaluation,Benchmark,0.55,"Large-scale industrial recommenders typically use a fixed multi-stage pipeline (recall, ranking, re-ranking) and have progressed from collaborative filtering to deep and large pre-trained models. However, both multi-stage and so-called One Model designs remain essentially static: models are black boxes, and system improvement relies on manual hypotheses and",Shared or Distributed Memory,,Act,,agent | self-evolving,,,
2603.26085v1,arxiv_api,,daily_arxiv,live_fetch,,,fetched_from_arxiv,,,http://arxiv.org/abs/2603.26085v1,2026-03-30,2026-03-30,2026-04-03,2603.26085v1,2026,False,2603.26085v1,AgenticRS-Architecture: System Design for Agentic Recommender Systems,"Hao Zhang, Jinxin Hu, Hao Deng, Lingyu Mu, Shizhun Wang, Yu Zhang, Xiaoyi Zeng",2026-03-27,2026-03-27,http://arxiv.org/abs/2603.26085v1,https://arxiv.org/pdf/2603.26085v1,,,False,,unknown,none,,0.0,,"AutoModel is an agent based architecture for the full lifecycle of industrial recommender systems. Instead of a fixed recall and ranking pipeline, AutoModel organizes recommendation as a set of interacting evolution agents with long term memory and self improvement capability. We instantiate three core agents along the axes of models, features, and resources: AutoTrain for model design and training, AutoFeature for data analysis and feature evolution, and AutoPerf for performance, deployment, and online experimentation. A shared coordination and knowledge layer connects these agents and records decisions, configurations, and outcomes. Through a case study of a module called paper autotrain, we show how AutoTrain automates paper driven model reproduction by closing the loop from method parsing to code generation, large scale training, and offline comparison, reducing manual effort for method transfer. AutoModel enables locally automated yet globally aligned evolution of large scale recommender systems and can be generalized to other AI systems such as search and advertising.",Memory Forms,External Retrieved Memory,System,0.55,"AutoModel is an agent based architecture for the full lifecycle of industrial recommender systems. Instead of a fixed recall and ranking pipeline, AutoModel organizes recommendation as a set of interacting evolution agents with long term memory and self improvement capability. We instantiate three core agents along the axes of models, features, and resources",,Declarative,,,agent | memory,memory injection | memory poisoning,,
2603.25716v1,memory_bank_api+arxiv_api,,memory_bank_api,,,,imported_from_memory_bank,,,,memory-bank-import-2026-03-30,2026-03-30,2026-04-03,2603.25716v1,2026,False,2603.25716v1,Out of Sight but Not Out of Mind: Hybrid Memory for Dynamic Video World Models,"Kaijin Chen, Dingkang Liang, Xin Zhou, Yikang Ding, Xiaoqiang Liu, Pengfei Wan, Xiang Bai",2026-03-26,2026-03-26,http://arxiv.org/abs/2603.25716v1,https://arxiv.org/pdf/2603.25716v1,,,False,,unknown,none,,0.0,,"Video world models have shown immense potential in simulating the physical world, yet existing memory mechanisms primarily treat environments as static canvases. When dynamic subjects hide out of sight and later re-emerge, current methods often struggle, leading to frozen, distorted, or vanishing subjects. To address this, we introduce Hybrid Memory, a novel paradigm requiring models to simultaneously act as precise archivists for static backgrounds and vigilant trackers for dynamic subjects, ensuring motion continuity during out-of-view intervals. To facilitate research in this direction, we construct HM-World, the first large-scale video dataset dedicated to hybrid memory. It features 59K high-fidelity clips with decoupled camera and subject trajectories, encompassing 17 diverse scenes, 49 distinct subjects, and meticulously designed exit-entry events to rigorously evaluate hybrid coherence. Furthermore, we propose HyDRA, a specialized memory architecture that compresses memory into tokens and utilizes a spatiotemporal relevance-driven retrieval mechanism. By selectively attending to relevant motion cues, HyDRA effectively preserves the identity and motion of hidden subjects. Extensive experiments on HM-World demonstrate that our method significantly outperforms state-of-the-art approaches in both dynamic subject consistency and overall generation quality.",Threat Landscape,Temporal Poisoning and Delayed Triggers,Benchmark,0.55,"Video world models have shown immense potential in simulating the physical world, yet existing memory mechanisms primarily treat environments as static canvases. When dynamic subjects hide out of sight and later re-emerge, current methods often struggle, leading to frozen, distorted, or vanishing subjects. To address this, we introduce Hybrid Memory, a novel",External Retrieved Memory,,Retrieve,Temporal Consistency,memory | retrieval,memory injection | memory poisoning,,identity shaping
2603.25157v1,arxiv_api,,daily_arxiv,live_fetch,,,fetched_from_arxiv,,,http://arxiv.org/abs/2603.25157v1,2026-03-30,2026-03-30,2026-04-03,2603.25157v1,2026,False,2603.25157v1,Vision Hopfield Memory Networks,"Jianfeng Wang, Amine M'Charrak, Luk Koska, Xiangtao Wang, Daniel Petriceanu, Mykyta Smyrnov, Ruizhi Wang, Michael Bumbar, Luca Pinchetti, Thomas Lukasiewicz",2026-03-26,2026-03-26,http://arxiv.org/abs/2603.25157v1,https://arxiv.org/pdf/2603.25157v1,,,False,,unknown,none,,0.0,,"Recent vision and multimodal foundation backbones, such as Transformer families and state-space models like Mamba, have achieved remarkable progress, enabling unified modeling across images, text, and beyond. Despite their empirical success, these architectures remain far from the computational principles of the human brain, often demanding enormous amounts of training data while offering limited interpretability. In this work, we propose the Vision Hopfield Memory Network (V-HMN), a brain-inspired foundation backbone that integrates hierarchical memory mechanisms with iterative refinement updates. Specifically, V-HMN incorporates local Hopfield modules that provide associative memory dynamics at the image patch level, global Hopfield modules that function as episodic memory for contextual modulation, and a predictive-coding-inspired refinement rule for iterative error correction. By organizing these memory-based modules hierarchically, V-HMN captures both local and global dynamics in a unified framework. Memory retrieval exposes the relationship between inputs and stored patterns, making decisions more interpretable, while the reuse of stored patterns improves data efficiency. This brain-inspired design therefore enhances interpretability and data efficiency beyond existing self-attention- or state-space-based approaches. We conducted extensive experiments on public computer vision benchmarks, and V-HMN achieved competitive results against widely adopted backbone architectures, while offering better interpretability, higher data efficiency, and stronger biological plausibility. These findings highlight the potential of V-HMN to serve as a next-generation vision foundation model, while also providing a generalizable blueprint for multimodal backbones in domains such as text and audio, thereby bridging brain-inspired computation with large-scale machine learning.",Evaluation and Benchmarks,Long-Term Memory Evaluation,Benchmark,0.55,"Recent vision and multimodal foundation backbones, such as Transformer families and state-space models like Mamba, have achieved remarkable progress, enabling unified modeling across images, text, and beyond. Despite their empirical success, these architectures remain far from the computational principles of the human brain, often demanding enormous amounts",Contextual Memory | External Retrieved Memory,Episodic,Store | Retrieve | Update,,memory | retrieval | episodic-memory | benchmark | multimodal,memory injection | memory poisoning,,
2603.25111v1,arxiv_api,,daily_arxiv,live_fetch,,,fetched_from_arxiv,,,http://arxiv.org/abs/2603.25111v1,2026-03-30,2026-03-30,2026-04-03,2603.25111v1,2026,False,2603.25111v1,SEVerA: Verified Synthesis of Self-Evolving Agents,"Debangshu Banerjee, Changming Xu, Gagandeep Singh",2026-03-26,2026-03-26,http://arxiv.org/abs/2603.25111v1,https://arxiv.org/pdf/2603.25111v1,Formally Verified Self-Evolving LLM Agents,,False,,unknown,none,Formally Verified Self-Evolving LLM Agents,0.15,,"Recent advances have shown the effectiveness of self-evolving LLM agents on tasks such as program repair and scientific discovery. In this paradigm, a planner LLM synthesizes an agent program that invokes parametric models, including LLMs, which are then tuned per task to improve performance. However, existing self-evolving agent frameworks provide no formal guarantees of safety or correctness. Because such programs are often executed autonomously on unseen inputs, this lack of guarantees raises reliability and security concerns. We formulate agentic code generation as a constrained learning problem, combining hard formal specifications with soft objectives capturing task utility. We introduce Formally Guarded Generative Models (FGGM), which allow the planner LLM to specify a formal output contract for each generative model call using first-order logic. Each FGGM call wraps the underlying model in a rejection sampler with a verified fallback, ensuring every returned output satisfies the contract for any input and parameter setting. Building on FGGM, we present SEVerA (Self-Evolving Verified Agents), a three-stage framework: Search synthesizes candidate parametric programs containing FGGM calls; Verification proves correctness with respect to hard constraints for all parameter values, reducing the problem to unconstrained learning; and Learning applies scalable gradient-based optimization, including GRPO-style fine-tuning, to improve the soft objective while preserving correctness. We evaluate SEVerA on Dafny program verification, symbolic math synthesis, and policy-compliant agentic tool use ($τ^2$-bench). Across tasks, SEVerA achieves zero constraint violations while improving performance over unconstrained and SOTA baselines, showing that formal behavioral constraints not only guarantee correctness but also steer synthesis toward higher-quality agents.",Evaluation and Benchmarks,Long-Term Memory Evaluation,Benchmark,0.55,"Recent advances have shown the effectiveness of self-evolving LLM agents on tasks such as program repair and scientific discovery. In this paradigm, a planner LLM synthesizes an agent program that invokes parametric models, including LLMs, which are then tuned per task to improve performance. However, existing self-evolving agent frameworks provide no formal",Parametric Memory,,Act,Availability or Reliability,agent | safety | self-evolving | tool-use,,safe forgetting,behavioral infrastructure
2603.25097v1,arxiv_api,,daily_arxiv,live_fetch,,,fetched_from_arxiv,,,http://arxiv.org/abs/2603.25097v1,2026-03-30,2026-03-30,2026-04-03,2603.25097v1,2026,False,2603.25097v1,ElephantBroker: A Knowledge-Grounded Cognitive Runtime for Trustworthy AI Agents,"Cristian Lupascu, Alexandru Lupascu",2026-03-26,2026-03-26,http://arxiv.org/abs/2603.25097v1,https://arxiv.org/pdf/2603.25097v1,,,False,,unknown,none,,0.0,,"Large Language Model based agents increasingly operate in high stakes, multi turn settings where factual grounding is critical, yet their memory systems typically rely on flat key value stores or plain vector retrieval with no mechanism to track the provenance or trustworthiness of stored knowledge. We present ElephantBroker, an open source cognitive runtime that unifies a Neo4j knowledge graph with a Qdrant vector store through the Cognee SDK to provide durable, verifiable agent memory. The system implements a complete cognitive loop (store, retrieve, score, compose, protect, learn) comprising a hybrid five source retrieval pipeline, an eleven dimension competitive scoring engine for budget constrained context assembly, a four state evidence verification model, a five stage context lifecycle with goal aware assembly and continuous compaction, a six layer cheap first guard pipeline for safety enforcement, an AI firewall providing enforceable tool call interception and multi tier safety scanning, a nine stage consolidation engine that strengthens useful patterns while decaying noise, and a numeric authority model governing multi organization identity with hierarchical access control. Architectural validation through a comprehensive test suite of over 2,200 tests spanning unit, integration, and end to end levels confirms subsystem correctness. The modular design supports three deployment tiers, five profile presets with inheritance, multi gateway isolation, and a management dashboard for human oversight, enabling configurations from lightweight memory only agents to full cognitive runtimes with enterprise grade safety and auditability.",Evaluation and Benchmarks,Long-Term Memory Evaluation,Benchmark,0.55,"Large Language Model based agents increasingly operate in high stakes, multi turn settings where factual grounding is critical, yet their memory systems typically rely on flat key value stores or plain vector retrieval with no mechanism to track the provenance or trustworthiness of stored knowledge. We present ElephantBroker, an open source cognitive runtime",Contextual Memory | External Retrieved Memory | Interaction-Derived Memory | Structured or Graph Memory,Declarative | Profile or Persona,Store | Retrieve | Act,Provenance or Traceability,agent | memory | retrieval | graph-memory | safety | tool-use,memory injection | memory poisoning,access control | safe forgetting | provenance,identity shaping
2603.25031v1,memory_bank_api+arxiv_api,,memory_bank_api,,,,imported_from_memory_bank,,,,memory-bank-import-2026-03-30,2026-03-30,2026-04-03,2603.25031v1,2026,False,2603.25031v1,From Stateless to Situated: Building a Psychological World for LLM-Based Emotional Support,"Boning Zhao, Clover Hu, Xinnuo Li",2026-03-26,2026-03-26,http://arxiv.org/abs/2603.25031v1,https://arxiv.org/pdf/2603.25031v1,,,False,,unknown,none,,0.0,,"In psychological support and emotional companionship scenarios, the core limitation of large language models (LLMs) lies not merely in response quality, but in their reliance on local next-token prediction, which prevents them from maintaining the temporal continuity, stage awareness, and user consent boundaries required for multi-turn intervention. This stateless characteristic makes systems prone to premature advancement, stage misalignment, and boundary violations in continuous dialogue. To address this problem, we argue that the key challenge in process-oriented emotional support is not simply generating natural language, but constructing a sustainably updatable external situational structure for the model. We therefore propose LEKIA 2.0, a situated LLM architecture that separates the cognitive layer from the executive layer, thereby decoupling situational modeling from intervention execution. This design enables the system to maintain stable representations of the user's situation and consent boundaries throughout ongoing interaction. To evaluate this process-control capability, we further introduce a Static-to-Dynamic online evaluation protocol for multi-turn interaction. LEKIA achieved an average absolute improvement of approximately 31% over prompt-only baselines in deep intervention loop completion. The results suggest that an external situational structure is a key enabling condition for building stable, controllable, and situated emotional support systems.",Threat Landscape,Temporal Poisoning and Delayed Triggers,Benchmark,0.55,"In psychological support and emotional companionship scenarios, the core limitation of large language models (LLMs) lies not merely in response quality, but in their reliance on local next-token prediction, which prevents them from maintaining the temporal continuity, stage awareness, and user consent boundaries required for multi-turn intervention. This sta",Contextual Memory | External Retrieved Memory | Interaction-Derived Memory,,Update | Act,Temporal Consistency | Alignment Stability,rag | dialogue | evaluation,alignment drift,,
